season,player_name,tier
2024-25,Nikola Jokić,1
2024-25,Giannis Antetokounmpo,1
2024-25,Jayson Tatum,1
2024-25,Shai Gilgeous-Alexander,1
2024-25,Donovan Mitchell,1
2024-25,Evan Mobley,2
2024-25,LeBron James,2
2024-25,Stephen Curry,2
2024-25,Anthony Edwards,2
2024-25,Jalen Brunson,2
2024-25,Karl-Anthony Towns,3
2024-25,Jalen Williams,3
2024-25,Cade Cunningham,3
2024-25,Tyrese Haliburton,3
2024-25,James Harden,3
2023-24,Nikola Jokić,1
2023-24,Giannis Antetokounmpo,1
2023-24,Jayson Tatum,1
2023-24,Luka Dončić,1
2023-24,Shai Gilgeous-Alexander,1
2023-24,Anthony Davis,2
2023-24,Kevin Durant,2
2023-24,Kawhi Leonard,2
2023-24,Jalen Brunson,2
2023-24,Anthony Edwards,2
2023-24,LeBron James,3
2023-24,Domantas Sabonis,3
2023-24,Devin Booker,3
2023-24,Stephen Curry,3
2023-24,Tyrese Haliburton,3
2022-23,Joel Embiid,1
2022-23,Giannis Antetokounmpo,1
2022-23,Jayson Tatum,1
2022-23,Luka Dončić,1
2022-23,Shai Gilgeous-Alexander,1
2022-23,Nikola Jokić,2
2022-23,Jimmy Butler,2
2022-23,Jaylen Brown,2
2022-23,Donovan Mitchell,2
2022-23,Stephen Curry,2
2022-23,Domantas Sabonis,3
2022-23,LeBron James,3
2022-23,Julius Randle,3
2022-23,De'Aaron Fox,3
2022-23,Damian Lillard,3
2021-22,Nikola Jokić,1
2021-22,Giannis Antetokounmpo,1
2021-22,Jayson Tatum,1
2021-22,Luka Dončić,1
2021-22,Devin Booker,1
2021-22,Joel Embiid,2
2021-22,Kevin Durant,2
2021-22,DeMar DeRozan,2
2021-22,Ja Morant,2
2021-22,Stephen Curry,2
2021-22,Karl-Anthony Towns,3
2021-22,LeBron James,3
2021-22,Pascal Siakam,3
2021-22,Chris Paul,3
2021-22,Trae Young,3
2020-21,Nikola Jokić,1
2020-21,Giannis Antetokounmpo,1
2020-21,Kawhi Leonard,1
2020-21,Stephen Curry,1
2020-21,Luka Dončić,1
2020-21,Joel Embiid,2
2020-21,Julius Randle,2
2020-21,LeBron James,2
2020-21,Chris Paul,2
2020-21,Damian Lillard,2
2020-21,Rudy Gobert,3
2020-21,Jimmy Butler,3
2020-21,Paul George,3
2020-21,Bradley Beal,3
2020-21,Kyrie Irving,3
2019-20,Anthony Davis,1
2019-20,Giannis Antetokounmpo,1
2019-20,LeBron James,1
2019-20,James Harden,1
2019-20,Luka Dončić,1
2019-20,Nikola Jokić,2
2019-20,Kawhi Leonard,2
2019-20,Pascal Siakam,2
2019-20,Damian Lillard,2
2019-20,Chris Paul,2
2019-20,Rudy Gobert,3
2019-20,Jayson Tatum,3
2019-20,Jimmy Butler,3
2019-20,Ben Simmons,3
2019-20,Russell Westbrook,3
2018-19,Nikola Jokić,1
2018-19,Giannis Antetokounmpo,1
2018-19,Paul George,1
2018-19,James Harden,1
2018-19,Stephen Curry,1
2018-19,Joel Embiid,2
2018-19,Kevin Durant,2
2018-19,Kawhi Leonard,2
2018-19,Damian Lillard,2
2018-19,Kyrie Irving,2
2018-19,Rudy Gobert,3
2018-19,LeBron James,3
2018-19,Blake Griffin,3
2018-19,Kemba Walker,3
2018-19,Russell Westbrook,3
2017-18,Anthony Davis,1
2017-18,LeBron James,1
2017-18,Kevin Durant,1
2017-18,Damian Lillard,1
2017-18,James Harden,1
